model,system_prompt,safe_total,safe_refused,over_refusal_pct,unsafe_total,unsafe_refused,safety_pct,balanced_pct
psysafe-27b,default,250,9,3.60,200,34,17.00,56.70
psysafe-27b,v0,250,12,4.80,200,30,15.00,55.10
psysafe-27b,v1,250,23,9.20,200,53,26.50,58.65
psysafe-a3b,default,250,14,5.60,200,38,19.00,56.70
psysafe-a3b,v0,250,17,6.80,200,35,17.50,55.35
psysafe-a3b,v1,250,47,18.80,200,82,41.00,61.10
qwen35-27b,default,250,33,13.20,200,118,59.00,72.90
qwen35-27b,v0,250,31,12.40,200,126,63.00,75.30
qwen35-27b,v1,250,60,24.00,200,157,78.50,77.25
qwen35-a3b,default,250,34,13.60,200,119,59.50,72.95
qwen35-a3b,v0,250,36,14.40,200,125,62.50,74.05
qwen35-a3b,v1,250,69,27.60,200,134,67.00,69.70
